pin_normalized,address,year,date,case_number,record_type,title,description,source_name,source_url,document_url
,316 Grand,2021,2021-10-27,GN-21-07,Garage,Garage at 316 Grand,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=1956&view_id=22,
,412 S Prospect,2021,2021-10-27,SA-21-26,Single Family Alteration,Single Family Alteration at 412 S Prospect,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=1956&view_id=22,
,1824 S Prospect,2021,2021-10-27,SA-21-27,Single Family Alteration,Single Family Alteration at 1824 S Prospect,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=1956&view_id=22,
,1608 Courtland,2022,2022-05-25,SA-22-12,Single Family Alteration,Single Family Alteration at 1608 Courtland,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=2223&view_id=1,
,320 N Redfield,2023,2023-05-24,SA-23-11,Single Family Alteration,Single Family Alteration at 320 N Redfield,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=2548&view_id=1,
,120 S Cumberland,2023,2023-05-24,SA-23-12,Single Family Alteration,Single Family Alteration at 120 S Cumberland,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=2548&view_id=1,
,328 S Fairview,2023,2023-05-24,SF-23-04,New Single-Family Residence Revision,Revision to New Single-Family Residence at 328 S Fairview,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=2548&view_id=1,
,216 S Rose,2023,2023-05-24,SF-23-09,New Single-Family Residence,New Single-Family Residence at 216 S Rose,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=2548&view_id=1,
,517 N Western,2023,2023-06-28,SA-23-03,Single Family Alteration Revision,Revision to a Single-Family Alteration at 517 N Western,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=2584&view_id=1,
,216 S Rose,2023,2023-06-28,SF-23-09,New Single-Family Residence Continued,Continued New Single-Family Residence at 216 S Rose,Appearance Commission case file listed on public agenda and available by request from the City,Park Ridge Appearance Commission agenda,https://parkridge.granicus.com/AgendaViewer.php?clip_id=2584&view_id=1,
