pin,address,date,year,title,description,record_type,case_number,source_name,source_url,document_url,source_year,access_note,rights_note
,"3 South Prospect Avenue",2010,2010,"The Pickwick Building","Recognized Park Ridge Landmark. The public list describes the 1928 Pickwick complex as a movie theatre, stage, retail, and office building.","Park Ridge Landmark","2010 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"720 Garden Street",2011,2011,"The Clute House","Recognized Park Ridge Landmark named for early residents Walter and Beulah Clute, who were connected to the Park Ridge Artists Colony.","Park Ridge Landmark","2011 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"424 Talcott Place",2011,2011,"424 Talcott Place","Recognized Park Ridge Landmark. The public list identifies this private residence as part of the Spanish Town neighborhood story.","Park Ridge Landmark","2011 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"808 Park Plaine Avenue",2011,2011,"The Helen Unseth House","Recognized Park Ridge Landmark. The public list identifies this private residence as a Bruce Goff-designed house built in 1940.","Park Ridge Landmark","2011 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"2101 West Touhy Avenue",2011,2011,"Town of Maine Cemetery","Recognized Park Ridge Landmark. The public list describes the cemetery as chartered in 1858 with a distinctive Touhy Avenue gatehouse and Civil War memorial context.","Park Ridge Landmark","2011 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"201 Grand Boulevard",2011,2011,"The Malone House","Recognized Park Ridge Landmark. The public list identifies this early Park Ridge house with second mayor William H. Malone.","Park Ridge Landmark","2011 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"255 North Northwest Highway",2012,2012,"Iannelli Home and Studio","Recognized Park Ridge Landmark tied to designer and sculptor Alfonso Iannelli, who lived and worked in Park Ridge.","Park Ridge Landmark","2012 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"257 North Northwest Highway",2012,2012,"Iannelli Home and Studio","Recognized Park Ridge Landmark tied to designer and sculptor Alfonso Iannelli, who lived and worked in Park Ridge.","Park Ridge Landmark","2012 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"519 Cedar Street",2012,2012,"519 Cedar Street","Recognized Park Ridge Landmark. The public list identifies this Tudor Revival house as built by William Malone and associated with architects H. R. Zook and William McCaughey.","Park Ridge Landmark","2012 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"611 Cedar Street",2012,2012,"611 Cedar Street","Recognized Park Ridge Landmark. The public list connects this Cotswold Cottage residence to the Cedar Court enclave, William Malone, Alfonso Iannelli, and Barry Byrne.","Park Ridge Landmark","2012 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"312 Cedar Street",2014,2014,"Henri A. Eicher House","Recognized Park Ridge Landmark. The public list identifies this as one of Park Ridge's oldest residences and connects Eicher to the Kalo Workshop.","Park Ridge Landmark","2014 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"720 South Lincoln Avenue",2014,2014,"720 South Lincoln Avenue","Recognized Park Ridge Landmark. The public list identifies this as a William McCaughey-designed house from 1956.","Park Ridge Landmark","2014 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"122 North Delphia Avenue",2015,2015,"122 North Delphia Avenue","Recognized Park Ridge Landmark. The public list describes this Georgian-style private residence in the context of World War II-era local housing.","Park Ridge Landmark","2015 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
,"721 North Prospect Avenue",2017,2017,"The Solomon Cottage","Recognized Park Ridge Landmark. The public list identifies the former school building as the first cottage built for the Illinois Industrial School for Girls after its 1908 relocation.","Park Ridge Landmark","2017 landmark recognition","Park Ridge Historical Society","https://www.parkridgehistorycenter.org/park-ridge-landmarks/",,2022,"Seeded from the public Park Ridge Landmarks list; address matching depends on assessor address format.",
